"URL | Name"|"# of 
locations"|States
"http://supermarketpage.com/supermarkets/Bel-Air-Supermarkets-21848.htm | Bel Air Supermarkets"|7|CA|
"http://supermarketpage.com/supermarkets/Ben-E-Keith-Foods-18837.htm | Ben E Keith Foods"|11|AR, KS, LA, OK, TN, TX|
"http://supermarketpage.com/supermarkets/Benders-Foods-11846.htm | Benders Foods"|3|IA, WI|
"http://supermarketpage.com/supermarkets/Benetti-Foods-13379.htm | Benetti Foods"|2|MN|
"http://supermarketpage.com/supermarkets/Berner-Foods-Incorporated-18649.htm | Berner Foods Incorporated"|2|IL|
"http://supermarketpage.com/supermarkets/Better-Brand-Foods-Inc.-19143.htm | Better Brand Foods Inc."|2|CA|
"http://supermarketpage.com/supermarkets/Bi-lo-Inc-22364.htm | Bi lo Inc"|29|AL, FL, GA, LA, NC, PA, SC, TN|
"http://supermarketpage.com/supermarkets/BI-Rite-Supermarket-7088.htm | BI Rite Supermarket"|7|MD, MI, OH, SC, TX|
"http://supermarketpage.com/supermarkets/Bi-Lo-22363.htm | Bi-Lo"|122|AL, GA, MT, NC, PA, SC, TN|
"http://supermarketpage.com/supermarkets/BI-Rite-Supermarket-14562.htm | BI-Rite Supermarket"|6|CA, NC, OH, OK, TX|
"http://supermarketpage.com/supermarkets/Big-Apple-Supermarket-5506.htm | Big Apple Supermarket"|3|NC, OH|
"http://supermarketpage.com/supermarkets/Big-Bear-Natural-Foods-2020.htm | Big Bear Natural Foods"|3|NJ, PA|
"http://supermarketpage.com/supermarkets/Big-M-11755.htm | Big M"|5|NY|
"http://supermarketpage.com/supermarkets/Big-Saver-Foods-22748.htm | Big Saver Foods"|14|CA|
"http://supermarketpage.com/supermarkets/Big-Sky-Premium-Meats-Specialty-Foods-6709.htm | Big Sky Premium Meats & Specialty Foods"|2|MT|
"http://supermarketpage.com/supermarkets/Big-Star-Grocery-13527.htm | Big Star Grocery"|1|MS|
"http://supermarketpage.com/supermarkets/Big-Star-Super-Market-20742.htm | Big Star Super Market"|11|AL, LA, MS, TN|
"http://supermarketpage.com/supermarkets/Big-Top-Supermarket-19739.htm | Big Top Supermarket"|2|FL|
"http://supermarketpage.com/supermarkets/Big-Town-Foods-5635.htm | Big Town Foods"|2|AL|
"http://supermarketpage.com/supermarkets/Big-Value-Super-Mkt.-20103.htm | Big Value Super Mkt."|1|CT|
