"URL | Name"|"# of 
locations"|States
"http://supermarketpage.com/supermarkets/Furrs-Supermarket-21763.htm | Furrs Supermarket"|4|NM, TX|
"http://supermarketpage.com/supermarkets/G-G-Supermarket-14413.htm | G & G Supermarket"|2|CA|
"http://supermarketpage.com/supermarkets/G-W-Foods-10994.htm | G & W Foods"|18|KS, MO|
"http://supermarketpage.com/supermarkets/G-U-Family-Market-10008.htm | G U Family Market"|6|NY|
"http://supermarketpage.com/supermarkets/Gabriels-Super-Mkt-9917.htm | Gabriels Super Mkt"|2||
"http://supermarketpage.com/supermarkets/Garcias-Supermarket-19428.htm | Garcias Supermarket"|3||
"http://supermarketpage.com/supermarkets/Geisslers-Super-Mkt.-7524.htm | Geissler's Super Mkt."|7|CT, MA|
"http://supermarketpage.com/supermarkets/Genes-Heartland-Foods-17310.htm | Gene's Heartland Foods"|3|KS|
"http://supermarketpage.com/supermarkets/Genuardis-12286.htm | Genuardis"|24|NJ, PA|
"http://supermarketpage.com/supermarkets/Gerritys-10951.htm | Gerritys"|10||
"http://supermarketpage.com/supermarkets/Geyers-Fresh-Foods-19410.htm | Geyers Fresh Foods"|6|OH|
"http://supermarketpage.com/supermarkets/Giant-Eagle-4233.htm | Giant Eagle"|240|KY, MD, OH, PA, WI, WV|
"http://supermarketpage.com/supermarkets/Giant-Food-13956.htm | Giant Food"|93|DC, DE, MD, VA|
"http://supermarketpage.com/supermarkets/Giant-Food-Store-15064.htm | Giant Food Store"|28|PA|
"http://supermarketpage.com/supermarkets/Giant-Markets-Inc-11782.htm | Giant Markets Inc"|6|NY|
"http://supermarketpage.com/supermarkets/Glory-Supermarket-4752.htm | Glory Supermarket"|5|MI|
"http://supermarketpage.com/supermarkets/Goodings-Supermarkets-6950.htm | Goodings Supermarkets"|4|FL|
"http://supermarketpage.com/supermarkets/Grand-Union-Co-19468.htm | Grand Union Co"|11|CT, MA, NY, VT|
"http://supermarketpage.com/supermarkets/Grants-Supermarket-4148.htm | Grants Supermarket"|7|NH, VA, WV|
"http://supermarketpage.com/supermarkets/Grauls-Market-7375.htm | Grauls Market"|5|MD|
"http://supermarketpage.com/supermarkets/Gristedes-21878.htm | Gristedes"|37|NY|
"http://supermarketpage.com/supermarkets/Grocery-Fox-6375.htm | Grocery Fox"|2|RI|
"http://supermarketpage.com/supermarkets/Gruma-Mission-Foods-2913.htm | Gruma Mission Foods"|6|CA, TX, WA|
"http://supermarketpage.com/supermarkets/Guadalajara-Supermarket-20356.htm | Guadalajara Supermarket"|4|GA, IL, SC|
"http://supermarketpage.com/supermarkets/Guzman-Grocery-19415.htm | Guzman Grocery"|7|NY|
"http://supermarketpage.com/supermarkets/H-L-Supermarket-11049.htm | H & L Supermarket"|3|MO|
"http://supermarketpage.com/supermarkets/Haggen-Food-Pharmacy-6197.htm | Haggen Food & Pharmacy"|5|OR, WA|
"http://supermarketpage.com/supermarkets/Han-Ah-Reum-Supermarket-2032.htm | Han Ah Reum Supermarket"|2|NY, PA|
"http://supermarketpage.com/supermarkets/Handy-Andy-Supermarkets-19051.htm | Handy Andy Supermarkets"|8|TX|
"http://supermarketpage.com/supermarkets/Hannaford-17670.htm | Hannaford"|228|MA, ME, NH, NY, VA, VT|
"http://supermarketpage.com/supermarkets/Hanover-Supermarket-18619.htm | Hanover Supermarket"|2|IA, IL|
"http://supermarketpage.com/supermarkets/Happy-Foods-19562.htm | Happy Foods"|7|FL, IL|
"http://supermarketpage.com/supermarkets/Harps-Food-Store-21908.htm | Harps Food Store"|5|AR, MO, OK|
"http://supermarketpage.com/supermarkets/Harris-Teeter-17958.htm | Harris Teeter"|216|DC, DE, FL, GA, MD, NC, NJ, SC, TN, VA|
"http://supermarketpage.com/supermarkets/Harrys-Fresh-Foods-8708.htm | Harrys Fresh Foods"|3|OR|
"http://supermarketpage.com/supermarkets/Harvest--Foods-14181.htm | Harvest -Foods"|5|AR, NC|
"http://supermarketpage.com/supermarkets/Harvest-Foods-13283.htm | Harvest Foods"|45|AR, CA, ID, IL, LA, MT, WA|
"http://supermarketpage.com/supermarkets/Harveys-Super-Market-6028.htm | Harveys Super Market"|9|GA|
"http://supermarketpage.com/supermarkets/Hays-Food-Town-20552.htm | Hays Food Town"|4|AR|
"http://supermarketpage.com/supermarkets/Healthway-Natural-Foods-4113.htm | Healthway Natural Foods"|11|CA, MD, VA, WV|
"http://supermarketpage.com/supermarkets/Heartland-Foods-11622.htm | Heartland Foods"|10|IA, IN, MD, OH, OK, SD|
"http://supermarketpage.com/supermarkets/HEB-23594.htm | HEB"|278|AZ, NY, TX|
"http://supermarketpage.com/supermarkets/Heinens-8162.htm | Heinens"|15|OH|
"http://supermarketpage.com/supermarkets/Hen-House-18710.htm | Hen House"|15|KS, MO|
"http://supermarketpage.com/supermarkets/Hillside-Foods-1846.htm | Hillside Foods"|2|NY|
"http://supermarketpage.com/supermarkets/Holiday-Foods-3437.htm | Holiday Foods"|19|AL, CA, IA, IN, KY, NC, TX|
"http://supermarketpage.com/supermarkets/Holiday-Quality-Foods-10195.htm | Holiday Quality Foods"|19|CA|
"http://supermarketpage.com/supermarkets/Holland-Market-21832.htm | Holland Market"|2||
"http://supermarketpage.com/supermarkets/Hollys-Town-Super-Market-10811.htm | Hollys Town Super Market"|3|IA|
"http://supermarketpage.com/supermarkets/Hollywood-Super-Mkt.-2616.htm | Hollywood Super Mkt."|4|MI|
"http://supermarketpage.com/supermarkets/Homeland-21926.htm | Homeland"|36|KS, OK|
"http://supermarketpage.com/supermarkets/Homerun-Foods-2439.htm | Homerun Foods"|10|GA|
"http://supermarketpage.com/supermarkets/Hometown-Foods-11825.htm | Hometown Foods"|35|AL, AR, CA, FL, GA, IA, ID, IL, KS, KY, MD, MN, NC, NY, OR, WI|
"http://supermarketpage.com/supermarkets/Horizon-Foods-6382.htm | Horizon Foods"|11|AZ, CA, CO, IA, MA, MD, NC, NY, OH, RI|
"http://supermarketpage.com/supermarkets/Hornbachers-Foods-13637.htm | Hornbachers Foods"|5|MN, ND|
"http://supermarketpage.com/supermarkets/Hot-Stuff-Foods-LLC-11614.htm | Hot Stuff Foods LLC"|3|SD|
"http://supermarketpage.com/supermarkets/Houchens-Market-11662.htm | Houchens Market"|9|KY|
"http://supermarketpage.com/supermarkets/Houghton-Market-7957.htm | Houghton Market"|1|WA|
"http://supermarketpage.com/supermarkets/Hung-Vuong-Super-Market-1922.htm | Hung Vuong Super Market"|3|PA|
"http://supermarketpage.com/supermarkets/Hurricane-Foods-5147.htm | Hurricane Foods"|5|IN|
"http://supermarketpage.com/supermarkets/Huy-Fong-Foods-Inc.-12955.htm | Huy Fong Foods Inc."|2|CA|
"http://supermarketpage.com/supermarkets/Hy-Klas-Foods-18703.htm | Hy Klas Foods"|3|MO|
"http://supermarketpage.com/supermarkets/Hy-Vee-11615.htm | Hy Vee"|26|IA, KS, MN, MO, NE, SD|
"http://supermarketpage.com/supermarkets/IBC-Merita-21525.htm | IBC Merita"|8|FL, GA|
"http://supermarketpage.com/supermarkets/Ingles-Market-20442.htm | Ingles Market"|65|NC, SC, TN|
"http://supermarketpage.com/supermarkets/Island-Pacific-Supermarket-13677.htm | Island Pacific Supermarket"|9|CA, NV|
"http://supermarketpage.com/supermarkets/Jack-Rabbit-Foods-2432.htm | Jack Rabbit Foods"|4|GA|
"http://supermarketpage.com/supermarkets/Jade-Foods-20538.htm | Jade Foods"|5|AR|
"http://supermarketpage.com/supermarkets/Jahnke-Foods-5322.htm | Jahnke Foods"|2|MN|
"http://supermarketpage.com/supermarkets/Jalisco-Market-16088.htm | Jalisco Market"|11|CA, GA, IL, LA, OH|
"http://supermarketpage.com/supermarkets/Jamboree-Foods-11632.htm | Jamboree Foods"|11|IA, KS, MN, OH, SD|
"http://supermarketpage.com/supermarkets/James-E-W-Sons-Supermarket-15816.htm | James E W & Sons Supermarket"|1|TN|
"http://supermarketpage.com/supermarkets/Jardines-Texas-Foods-9490.htm | Jardines Texas Foods"|3|TX|
"http://supermarketpage.com/supermarkets/Jaritza-Supermarket-894.htm | Jaritza Supermarket"|2|NJ|
"http://supermarketpage.com/supermarkets/Jennie-O-Foods-9002.htm | Jennie O Foods"|7|KS, MN|
"http://supermarketpage.com/supermarkets/Jensens-Finest-Foods-21187.htm | Jensens Finest Foods"|4|CA|
"http://supermarketpage.com/supermarkets/Jerome-Foods-14767.htm | Jerome Foods"|7|MN, WA, WI|
"http://supermarketpage.com/supermarkets/Jet-Foods-21541.htm | Jet Foods"|2|GA|
"http://supermarketpage.com/supermarkets/Jewel-Osco-4175.htm | Jewel-Osco"|220|IA, IL, IN, NM, TX, WI, WV|
"http://supermarketpage.com/supermarkets/Jimmy-Dean-Foods-17074.htm | Jimmy Dean Foods"|8|IA, IL|
"http://supermarketpage.com/supermarkets/Jimmy-Foods-17089.htm | Jimmy Foods"|1||
"http://supermarketpage.com/supermarkets/Jimmys-Food-Mart-3194.htm | Jimmy's Food Mart"|1|WI|
"http://supermarketpage.com/supermarkets/Jimmys-Foods-17103.htm | Jimmy's Foods"|2|IL|
"http://supermarketpage.com/supermarkets/Joseph-Webb-Foods-16376.htm | Joseph Webb Foods"|2|CA|
"http://supermarketpage.com/supermarkets/Joy-Bargain-5431.htm | Joy Bargain"|2||
"http://supermarketpage.com/supermarkets/Joy-Foods-7866.htm | Joy Foods"|7|FL, PA, TN|
"http://supermarketpage.com/supermarkets/Joyti-Supermarket-9453.htm | Joyti Supermarket"|2|CA|
"http://supermarketpage.com/supermarkets/Jubilee-Foods-4494.htm | Jubilee Foods"|34|AL, IA, IL, KY, LA, MD, MI, MN, MO, NY, OH, PA, SD, WI, WY|
"http://supermarketpage.com/supermarkets/Jumbo-Foods-1255.htm | Jumbo Foods"|3|AZ, OK, WA|
"http://supermarketpage.com/supermarkets/Jw-Fine-Foods-21681.htm | Jw Fine Foods"|3|NJ|
"http://supermarketpage.com/supermarkets/Kaiser-Supermarket-7689.htm | Kaiser Supermarket"|6|IN, OH|
"http://supermarketpage.com/supermarkets/Kaneshic-Supermarket-17059.htm | Kaneshic Supermarket"|2|IL|
"http://supermarketpage.com/supermarkets/Karina-Grocery-15425.htm | Karina Grocery"|7|MA, NY|
"http://supermarketpage.com/supermarkets/Karns-Quality-Foods-15069.htm | Karns Quality Foods"|7|PA|
"http://supermarketpage.com/supermarkets/Kash-N-Karry-6966.htm | Kash N Karry"|1|FL|
"http://supermarketpage.com/supermarkets/Kay-Foods-14601.htm | Kay Foods"|4|MI, NJ, TX|
"http://supermarketpage.com/supermarkets/Kens-Foods-9617.htm | Kens Foods"|6|AR, AZ, DE, FL, MA, OH|
"http://supermarketpage.com/supermarkets/Kens-Quik-Foods-23194.htm | Kens Quik Foods"|2|TX|
"http://supermarketpage.com/supermarkets/Kensington-Supermarket-4970.htm | Kensington Supermarket"|2|MD, MN|
"http://supermarketpage.com/supermarkets/Kents-Foods-8089.htm | Kents Foods"|2|UT|
"http://supermarketpage.com/supermarkets/Kevins-Great-American-11763.htm | Kevins Great American"|2|NY|
"http://supermarketpage.com/supermarkets/Key-Food-8720.htm | Key Food"|64|IL, NJ, NY, OH, OR|
"http://supermarketpage.com/supermarkets/Keystone-Foods-22189.htm | Keystone Foods"|12|AL, AR, MI, OH, PA, WI|
"http://supermarketpage.com/supermarkets/Kikos-Supermarket-933.htm | Kikos Supermarket"|2|NJ|
"http://supermarketpage.com/supermarkets/Kim-Market-12591.htm | Kim Market"|2|MA|
"http://supermarketpage.com/supermarkets/Kim-Young-15190.htm | Kim Young"|2|NY|
"http://supermarketpage.com/supermarkets/King-Brothers-Super-Market-3276.htm | King Brothers Super Market"|2|KY|
"http://supermarketpage.com/supermarkets/King-Food-7528.htm | King Food"|7|CA, FL, IL, MA, NY, WI|
"http://supermarketpage.com/supermarkets/King-Kullen-15472.htm | King Kullen"|40|NY|
"http://supermarketpage.com/supermarkets/King-Ranch-Market-16415.htm | King Ranch Market"|5|CA|
"http://supermarketpage.com/supermarkets/King-Soopers-4514.htm | King Soopers"|118|CO, WY|
"http://supermarketpage.com/supermarkets/Kings-Super-Market-19204.htm | Kings Super Market"|39|CA, FL, NJ, NY, PA, SC|
"http://supermarketpage.com/supermarkets/Kleins-Super-Market-20879.htm | Kleins Super Market"|17|MD, PA, TX|
"http://supermarketpage.com/supermarkets/Kmart-Super-Centers-18114.htm | Kmart Super Centers"|13|CO, IL, IN, MI, NC, TN, TX|
"http://supermarketpage.com/supermarkets/Koch-Foods-7838.htm | Koch Foods"|10|AL, GA, IN, MS, OH, TN|
"http://supermarketpage.com/supermarkets/Kona-Natural-Foods-18154.htm | Kona Natural Foods"|5|HI|
"http://supermarketpage.com/supermarkets/Krauszers-17351.htm | Krauszers"|13|CT, NJ, PA|
"http://supermarketpage.com/supermarkets/Kroger-17361.htm | Kroger"|1332|AL, AR, CA, CO, GA, IL, IN, KY, LA, MI, MN, MO, MS, NC, NY, OH, SC, TN, TX, VA, WV|
"http://supermarketpage.com/supermarkets/Kta-Super-Stores-18216.htm | Kta Super Stores"|5|HI|
"http://supermarketpage.com/supermarkets/Kubiaks-Family-Foods-2233.htm | Kubiaks Family Foods"|2|ME, MN|
"http://supermarketpage.com/supermarkets/Kumud-Groceries-9421.htm | Kumud Groceries"|2|CA|
"http://supermarketpage.com/supermarkets/Kwickie-Flash-Foods-16843.htm | Kwickie Flash Foods"|14|GA|
"http://supermarketpage.com/supermarkets/L-L-Food-Centers-9898.htm | L & L Food Centers"|8|MI|
"http://supermarketpage.com/supermarkets/Labriola-Leonard-Foods-7439.htm | Labriola Leonard Foods"|3|PA|
"http://supermarketpage.com/supermarkets/Lake-Mystic-Super-Market-19688.htm | Lake Mystic Super Market"|2|FL|
"http://supermarketpage.com/supermarkets/Lakeside-Foods-14734.htm | Lakeside Foods"|2|WI|
"http://supermarketpage.com/supermarkets/Lakewinds-Natural-Foods-22796.htm | Lakewinds Natural Foods"|4|MN|
"http://supermarketpage.com/supermarkets/Landis-Supermarket-12052.htm | Landis Supermarket"|4|PA|
"http://supermarketpage.com/supermarkets/Landmark-Foods-23313.htm | Landmark Foods"|4|AR, MS, TX|
"http://supermarketpage.com/supermarkets/Lawrence-Bros-Iga-22560.htm | Lawrence Bros Iga"|13||
"http://supermarketpage.com/supermarkets/Leevers-Supermarket-4068.htm | Leevers Supermarket"|3|CO|
"http://supermarketpage.com/supermarkets/Legacy-Foods-19685.htm | Legacy Foods"|3|IN, KS|
"http://supermarketpage.com/supermarkets/Leisure-Time-Foods-17840.htm | Leisure Time Foods"|6|NC, SC, VA|
"http://supermarketpage.com/supermarkets/Leprino-Foods-10944.htm | Leprino Foods"|13|CA, CO, MI, NE, NM, NY|
"http://supermarketpage.com/supermarkets/Lewis-Food-Town-14630.htm | Lewis Food Town"|12|TX|
"http://supermarketpage.com/supermarkets/Lil-Cricket-20386.htm | Lil Cricket"|4|SC|
"http://supermarketpage.com/supermarkets/Lil-Peach-23529.htm | Lil Peach"|25|MA|
"http://supermarketpage.com/supermarkets/Lobill-Foods-22514.htm | Lobill Foods"|13|IN, OH|
"http://supermarketpage.com/supermarkets/Logli-Supermarkets-18679.htm | Logli Supermarkets"|1|IL|
"http://supermarketpage.com/supermarkets/Lowes-Food-21743.htm | Lowes Food"|87|NC, NM, SC, TX|
"http://supermarketpage.com/supermarkets/Luckys-Supermarket-13750.htm | Lucky's Supermarket"|10|AL, NV|
"http://supermarketpage.com/supermarkets/Luihn-Foods-22134.htm | Luihn Foods"|3|NC|
"http://supermarketpage.com/supermarkets/Macs-Fresh-Market-5245.htm | Mac's Fresh Market"|5|LA|
"http://supermarketpage.com/supermarkets/Mace-Supermarkets-11056.htm | Mace Supermarkets"|2|MO|
"http://supermarketpage.com/supermarkets/Macs-Market-17626.htm | Macs Market"|2|NH, VT|
"http://supermarketpage.com/supermarkets/Made-In-Hawaii-Foods-18165.htm | Made In Hawaii Foods"|2|HI|
"http://supermarketpage.com/supermarkets/Madison-Foods-6731.htm | Madison Foods"|2|MT|
"http://supermarketpage.com/supermarkets/Malones-Food-Stores-23153.htm | Malone's Food Stores"|5|TX|
"http://supermarketpage.com/supermarkets/Mana-Foods-18182.htm | Mana Foods"|2|HI|
"http://supermarketpage.com/supermarkets/Mandros-Imported-Foods-14945.htm | Mandros Imported Foods"|3|PA|
"http://supermarketpage.com/supermarkets/Marathon-22354.htm | Marathon"|2|KY, TN|
"http://supermarketpage.com/supermarkets/Marigold-Foods-14765.htm | Marigold Foods"|8|IA, MN, WI|
"http://supermarketpage.com/supermarkets/Marinos-Associated-Foods-1188.htm | Marino's Associated Foods"|2|AL|
"http://supermarketpage.com/supermarkets/Market-Basket-11835.htm | Market Basket"|115|AZ, CA, GA, ID, IL, IN, LA, MA, MD, ME, MI, MS, MT, NC, NH, NJ, NY, OH, OR, PA, TX, VA, WA, WI|
"http://supermarketpage.com/supermarkets/Marketplace-Foods-13652.htm | Marketplace Foods"|3|MN, ND|
"http://supermarketpage.com/supermarkets/Mars-Supermarket-15604.htm | Mars Supermarket"|24|MD|
"http://supermarketpage.com/supermarkets/Marsh-Supermarket-22476.htm | Marsh Supermarket"|93|IN, OH|
"http://supermarketpage.com/supermarkets/Martin-Preferred-Foods-9564.htm | Martin Preferred Foods"|4|TX|
"http://supermarketpage.com/supermarkets/Martins-Super-Market-3234.htm | Martin's Super Market"|29|IN, MI|
"http://supermarketpage.com/supermarkets/Meijer-22504.htm | Meijer"|154|IL, IN, KY, MI, NY, OH|
"http://supermarketpage.com/supermarkets/Melmarkets-Foodtown-13153.htm | Melmarkets Foodtown"|9|NY|
"http://supermarketpage.com/supermarkets/Met-Foods-21679.htm | Met Foods"|38|NJ, NY|
"http://supermarketpage.com/supermarkets/Metal-Supermarkets-22160.htm | Metal Supermarkets"|36|AL, AZ, CA, GA, IL, IN, KY, MI, MN, NE, NJ, NY, OH, OR, PA, TN, WA, WI|
"http://supermarketpage.com/supermarkets/Metro-Food-Market-8173.htm | Metro Food Market"|4|MD|
"http://supermarketpage.com/supermarkets/Mi-Bandera-Supermarket-12363.htm | Mi Bandera Supermarket"|3|FL, OH|
"http://supermarketpage.com/supermarkets/Michael-Foods-21121.htm | Michael Foods"|10|IN, MN, NE, NJ|
"http://supermarketpage.com/supermarkets/Michoacam-Supermarket-13333.htm | Michoacam Supermarket"|2|CA|
"http://supermarketpage.com/supermarkets/Mission-Foods-16256.htm | Mission Foods"|45|AZ, CA, CO, GA, IA, KS, MN, MO, NY, PA, TX, VA|
"http://supermarketpage.com/supermarkets/Mojave-Foods-23016.htm | Mojave Foods"|7|CA, CO, GA, NV, SC, TX|
"http://supermarketpage.com/supermarkets/Morningstar-Foods-10238.htm | Morningstar Foods"|7|CA, FL, KY, MD, VA|
"http://supermarketpage.com/supermarkets/Mother-Earth-Natural-Foods-4957.htm | Mother Earth Natural Foods"|3|FL, NY|
"http://supermarketpage.com/supermarkets/Neighborhood-Market-17571.htm | Neighborhood Market"|95|AR, AZ, FL, IN, KS, KY, LA, MS, NM, NV, OK, TN, TX, UT|
"http://supermarketpage.com/supermarkets/New-Way-Supermarket-6403.htm | New Way Supermarket"|10|FL, NJ, NY, RI|
"http://supermarketpage.com/supermarkets/Newly-Weds-Food-21181.htm | Newly Weds Food"|8|AR, IL, MA, NJ|
"http://supermarketpage.com/supermarkets/Newmans-Foods-10985.htm | Newmans Foods"|2|MO|
"http://supermarketpage.com/supermarkets/Nice-N-Easy-Grocery-Shoppe-14845.htm | Nice N Easy Grocery Shoppe"|19|NY|
"http://supermarketpage.com/supermarkets/Niemann-Foods-10977.htm | Niemann Foods"|7|IL, MO|
"http://supermarketpage.com/supermarkets/Nijiya-Market-12999.htm | Nijiya Market"|5|CA|
"http://supermarketpage.com/supermarkets/Nikken-Foods-13252.htm | Nikken Foods"|2|MO|
"http://supermarketpage.com/supermarkets/No-Frills-Supermarket-6488.htm | No Frills Supermarket"|17|IA, NE|
"http://supermarketpage.com/supermarkets/Nob-Hill-Foods-19146.htm | Nob Hill Foods"|3|CA|
"http://supermarketpage.com/supermarkets/North-Bay-Foods-14417.htm | North Bay Foods"|4||
"http://supermarketpage.com/supermarkets/North-End-Market-17605.htm | North End Market"|4|MA, NH, OH, VT|
"http://supermarketpage.com/supermarkets/Northgate-Markets-20970.htm | Northgate Markets"|11|CA, FL|
"http://supermarketpage.com/supermarkets/Northland-Foods-14756.htm | Northland Foods"|4|MI, WI|
"http://supermarketpage.com/supermarkets/Nutricion-Fundamental-21221.htm | Nutricion Fundamental"|8|CA|
"http://supermarketpage.com/supermarkets/Oakridge-Supermarket-11310.htm | Oakridge Supermarket"|3|MI|
"http://supermarketpage.com/supermarkets/Occidental-International-Foods-21183.htm | Occidental International Foods"|3|NJ|
"http://supermarketpage.com/supermarkets/Old-Dutch-Foods-22186.htm | Old Dutch Foods"|20|FL, IA, MN, ND, NE, SD, VA, WI|
"http://supermarketpage.com/supermarkets/One-Stop-Market-15210.htm | One Stop Market"|7|CA, MA, NY|
"http://supermarketpage.com/supermarkets/Outpost-Natural-Foods-7555.htm | Outpost Natural Foods"|5|HI, WI|
"http://supermarketpage.com/supermarkets/Owens-Supermarket-13713.htm | Owens Supermarket"|4|IN, NV|
"http://supermarketpage.com/supermarkets/P-C-Foods-17659.htm | P & C Foods"|59|NH, NY, PA, VT|
"http://supermarketpage.com/supermarkets/P-T-Supermarket-23346.htm | P & T Supermarket"|4|LA, NJ|
"http://supermarketpage.com/supermarkets/P-W-Supermarkets-7085.htm | P W Supermarkets"|7|CA|
"http://supermarketpage.com/supermarkets/Pacific-Supermarket-18192.htm | Pacific Supermarket"|6|HI|
"http://supermarketpage.com/supermarkets/Pakn-Save-13336.htm | Pak'n Save"|5|CA|
"http://supermarketpage.com/supermarkets/Pal-Supermarket-15457.htm | Pal Supermarket"|3|NJ, NY|
"http://supermarketpage.com/supermarkets/Pantry-Foods-3171.htm | Pantry Foods"|4|IN, WI|
"http://supermarketpage.com/supermarkets/Paradise-Foods-4526.htm | Paradise Foods"|6|CA, MI, WY|
"http://supermarketpage.com/supermarkets/Park-N-Shop-9236.htm | Park N Shop"|3|MA|
"http://supermarketpage.com/supermarkets/Park-Place-Foods-19048.htm | Park Place Foods"|7|TX|
"http://supermarketpage.com/supermarkets/Patco-Handy-Stop-20186.htm | Patco Handy Stop"|9|CT|
"http://supermarketpage.com/supermarkets/Patel-Brothers-3556.htm | Patel Brothers"|10|CA, MA, NY, PA, TX|
"http://supermarketpage.com/supermarkets/Pathmark-12207.htm | Pathmark"|69|DE, NJ, NY, PA|
"http://supermarketpage.com/supermarkets/Patricias-Foods-18718.htm | Patricias Foods"|5|MO|
"http://supermarketpage.com/supermarkets/Patrick-Murphy-Market-1824.htm | Patrick Murphy Market"|2|NY|
"http://supermarketpage.com/supermarkets/Pats-Foods-21081.htm | Pats Foods"|5|MI|
"http://supermarketpage.com/supermarkets/Pauls-Supermarket-10992.htm | Paul's Supermarket"|5|GA, MO|
"http://supermarketpage.com/supermarkets/Pavilions-22677.htm | Pavilions"|5|CA|
"http://supermarketpage.com/supermarkets/Paw-Creek-Foods-Incorporated-17392.htm | Paw Creek Foods Incorporated"|2|MA|
"http://supermarketpage.com/supermarkets/Pax-Wholesome-Foods-1827.htm | Pax Wholesome Foods"|7|NY|
"http://supermarketpage.com/supermarkets/Payfair-Supermarket-4447.htm | Payfair Supermarket"|3|FL|
"http://supermarketpage.com/supermarkets/Payless-Super-Market-3358.htm | Payless Super Market"|5|LA, TX, VA|
"http://supermarketpage.com/supermarkets/Peachtree-Natural-Foods-16953.htm | Peachtree Natural Foods"|5|AL, GA|
"http://supermarketpage.com/supermarkets/Pechin-15627.htm | Pechin"|5|PA|
"http://supermarketpage.com/supermarkets/Pecks-Market-19471.htm | Pecks Market"|3|NY|
"http://supermarketpage.com/supermarkets/Pennant-Foods-14465.htm | Pennant Foods"|5|GA, IL|
"http://supermarketpage.com/supermarkets/Perez-Supermarket-23413.htm | Perez Supermarket"|5|NJ|
"http://supermarketpage.com/supermarkets/Pic-N-Save-16547.htm | Pic N Save"|5|AL, IN|
"http://supermarketpage.com/supermarkets/Pic-Pac-Supermarket-4719.htm | Pic Pac Supermarket"|8|KY, MI|
"http://supermarketpage.com/supermarkets/Pick-Quick-Foods-15410.htm | Pick Quick Foods"|9|NY|
"http://supermarketpage.com/supermarkets/Pickn-Save-22194.htm | Pick'n Save"|16|WI|
"http://supermarketpage.com/supermarkets/Pickles-Olives-Etc-903.htm | Pickles Olives Etc"|2|NJ|
"http://supermarketpage.com/supermarkets/Pierces-Supermarket-11833.htm | Pierces Supermarket"|3|WI|
"http://supermarketpage.com/supermarkets/Pierre-Foods-18983.htm | Pierre Foods"|1|NC|
"http://supermarketpage.com/supermarkets/Piggly-Wiggly-22228.htm | Piggly Wiggly"|535|AL, AR, FL, GA, IL, KS, KY, LA, MN, MO, MS, NC, OK, SC, TN, TX, VA, WA, WI|
"http://supermarketpage.com/supermarkets/Piglet-Supermarket-21540.htm | Piglet Supermarket"|2|GA, SC|
"http://supermarketpage.com/supermarkets/Pik-Nik-Foods-1684.htm | Pik Nik Foods"|5|TX|
"http://supermarketpage.com/supermarkets/Pinnacle-Foods-23382.htm | Pinnacle Foods"|13|AL, AR, AZ, IA, MI, NE, NJ|
"http://supermarketpage.com/supermarkets/Pioneer-Supermarket-12193.htm | Pioneer Supermarket"|27|NY, PA|
"http://supermarketpage.com/supermarkets/President-Supermarket-23362.htm | President Supermarket"|9|FL, NJ|
"http://supermarketpage.com/supermarkets/Price-Chopper-17666.htm | Price Chopper"|101|AR, CT, KS, MA, MO, NY, PA, VT|
"http://supermarketpage.com/supermarkets/Price-Cutter-21919.htm | Price Cutter"|6|AR, MO, OK|
"http://supermarketpage.com/supermarkets/Price-Less-Foods-10434.htm | Price Less Foods"|4|CA, IL, OR|
"http://supermarketpage.com/supermarkets/Price-Rite-6383.htm | Price Rite"|18|CT, IL, MA, NY, PA, RI|
"http://supermarketpage.com/supermarkets/Publix-12515.htm | Publix"|1144|AL, FL, GA, IA, IL, MI, NJ, NY, OH, SC, TN|
"http://supermarketpage.com/supermarkets/Pw-Supermarkets-22231.htm | Pw Supermarkets"|4|CA|
"http://supermarketpage.com/supermarkets/Qfc-Quality-Food-Centers-12868.htm | Qfc Quality Food Centers"|59|AR, NE, OR, PA, WA|
"http://supermarketpage.com/supermarkets/Quality-Dairy-Co.-9892.htm | Quality Dairy Co."|14|MI|
"http://supermarketpage.com/supermarkets/Quality-Food-Mart-Super-Markets-21761.htm | Quality Food Mart Super Markets"|5|TX|
"http://supermarketpage.com/supermarkets/Rainbow-Foods-13819.htm | Rainbow Foods"|22|GA, IL, MN, VA|
"http://supermarketpage.com/supermarkets/Raleys-Supermarkets-Drug-Centers-17157.htm | Raley's Supermarkets & Drug Centers"|40|CA, NM, NV|
"http://supermarketpage.com/supermarkets/Ralphs-Grocery-Co.-10969.htm | Ralphs Grocery Co."|19|CA, KS, KY, MO|
"http://supermarketpage.com/supermarkets/Rameys-Supermarket-22983.htm | Rameys Supermarket"|11|MS|
"http://supermarketpage.com/supermarkets/Red-Apple-Food-Marts-4505.htm | Red Apple Food Marts"|27|MI, NY, PA, WY|
"http://supermarketpage.com/supermarkets/Resers-Fine-Foods-9310.htm | Resers Fine Foods"|19|AR, FL, ID, KS, MT, OK, OR, UT, WA|
"http://supermarketpage.com/supermarkets/Reynolds-Supermarket-4527.htm | Reynolds Supermarket"|2|MT, WY|
"http://supermarketpage.com/supermarkets/Riceland-Foods-11059.htm | Riceland Foods"|23|AR, LA, MO|
"http://supermarketpage.com/supermarkets/Richdale-Dairy-Store-11528.htm | Richdale Dairy Store"|5|MA, NH|
